timestamp,action,obs_0
0.0,0.0,-0.28777049702104496
0.1,0.3,-0.03131945245424195
0.2,0.3,-0.025667294958136827
0.30000000000000004,0.3,-0.07564780802297169
0.4,0.3,-0.13474400622492666
0.5,0.3,0.41439757179963466
0.6,0.3,-0.08614347145738092
0.7,0.3,-0.42826704106339797
0.7999999999999999,0.3,0.027658146270546108
0.8999999999999999,0.3,-0.3270223852591881
0.9999999999999999,0.3,-0.39727656615864737
1.0999999999999999,0.3,0.42129886446573905
1.2,0.3,-0.2334392997911467
1.3,0.3,-0.22340555984642563
1.4000000000000001,0.3,-0.15760341797125968
1.5000000000000002,0.3,-0.11826211791867083
1.6000000000000003,0.3,0.07107923863350468
1.7000000000000004,0.3,-0.39920328151380824
1.8000000000000005,0.3,-0.6034368453255536
1.9000000000000006,0.3,-0.057530724970255964
2.0000000000000004,0.3,-0.39644502297883955
2.1000000000000005,0.3,-0.29430044887266427
2.2000000000000006,0.3,-0.8512338598438336
2.3000000000000007,0.3,-0.5235759288943181
2.400000000000001,0.3,-0.5594081627022721
2.500000000000001,0.3,-0.669040100580087
2.600000000000001,-0.2,-0.944410954555364
2.700000000000001,-0.2,-0.6937944974322128
2.800000000000001,-0.2,-0.7763854377884398
2.9000000000000012,-0.2,-0.8753758731396662
3.0000000000000013,-0.2,-1.3012551139560367
3.1000000000000014,-0.2,-1.1052554711532108
3.2000000000000015,-0.2,-0.8661257774495132
3.3000000000000016,-0.2,-1.5980650825601141
3.4000000000000017,-0.2,-1.7876060333761676
3.5000000000000018,-0.2,-1.6936659331338273
3.600000000000002,-0.2,-1.7538020322695211
3.700000000000002,-0.2,-1.8086044379104995
3.800000000000002,-0.2,-1.7493614219635238
3.900000000000002,-0.2,-2.764457098444125
4.000000000000002,-0.2,-2.7608451672179046
4.100000000000001,-0.2,-3.004878645378744
4.200000000000001,-0.2,-3.4817463246914775
4.300000000000001,-0.2,-4.181257759684475
4.4,-0.2,-4.051681409897586
4.5,-0.2,-4.939217167687122
4.6,-0.2,-5.035021691370235
4.699999999999999,-0.2,-5.630176559910041
4.799999999999999,-0.2,-6.484712154421585
4.899999999999999,-0.2,-6.714119216068049
4.999999999999998,-0.2,-7.249729352248176
